 area     peri     shape   perm
 4990 2791.900 0.0903296    6.3
 7002 3892.600 0.1486220    6.3
 7558 3930.660 0.1833120    6.3
 7352 3869.320 0.1170630    6.3
 7943 3948.540 0.1224170   17.1
 7979 4010.150 0.1670450   17.1
 9333 4345.750 0.1896510   17.1
 8209 4344.750 0.1641270   17.1
 8393 3682.040 0.2036540  119.0
 6425 3098.650 0.1623940  119.0
 9364 4480.050 0.1509440  119.0
 8624 3986.240 0.1481410  119.0
10651 4036.540 0.2285950   82.4
 8868 3518.040 0.2316230   82.4
 9417 3999.370 0.1725670   82.4
 8874 3629.070 0.1534810   82.4
10962 4608.660 0.2043140   58.6
10743 4787.620 0.2627270   58.6
11878 4864.220 0.2000710   58.6
 9867 4479.410 0.1448100   58.6
 7838 3428.740 0.1138520  142.0
11876 4353.140 0.2910290  142.0
12212 4697.650 0.2400770  142.0
 8233 3518.440 0.1618650  142.0
 6360 1977.390 0.2808870  740.0
 4193 1379.350 0.1794550  740.0
 7416 1916.240 0.1918020  740.0
 5246 1585.420 0.1330830  740.0
 6509 1851.210 0.2252140  890.0
 4895 1239.660 0.3412730  890.0
 6775 1728.140 0.3116460  890.0
 7894 1461.060 0.2760160  890.0
 5980 1426.760 0.1976530  950.0
 5318  990.388 0.3266350  950.0
 7392 1350.760 0.1541920  950.0
 7894 1461.060 0.2760160  950.0
 3469 1376.700 0.1769690  100.0
 1468  476.322 0.4387120  100.0
 3524 1189.460 0.1635860  100.0
 5267 1644.960 0.2538320  100.0
 5048  941.543 0.3286410 1300.0
 1016  308.642 0.2300810 1300.0
 5605 1145.690 0.4641250 1300.0
 8793 2280.490 0.4204770 1300.0
 3475 1174.110 0.2007440  580.0
 1651  597.808 0.2626510  580.0
 5514 1455.880 0.1824530  580.0
 9718 1485.580 0.2004470  580.0
